City,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",Mobile Phone Monthly Plan with Calls and 10GB+ Data,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
Mumbai,500.00 ₹,"2,000.00 ₹",400.00 ₹,210.00 ₹,285.17 ₹,228.06 ₹,54.90 ₹,15.76 ₹,64.85 ₹,45.58 ₹,71.19 ₹,91.99 ₹,581.82 ₹,331.03 ₹,608.13 ₹,206.80 ₹,68.64 ₹,111.78 ₹,56.42 ₹,45.73 ₹,50.70 ₹,63.90 ₹,29.48 ₹,750.00 ₹,187.47 ₹,360.00 ₹,20.00 ₹,400.00 ₹,30.00 ₹,30.00 ₹,120.00 ₹,104.53 ₹,"1,500,000.00 ₹","2,158,521.74 ₹","4,487.63 ₹",410.79 ₹,798.94 ₹,"2,057.07 ₹","1,088.46 ₹",400.00 ₹,"10,061.63 ₹","325,757.58 ₹","2,509.68 ₹","2,449.97 ₹","4,742.11 ₹","3,486.06 ₹","59,735.74 ₹","30,761.87 ₹","159,534.88 ₹","73,256.41 ₹","610,451.15 ₹","263,062.43 ₹","71,641.03 ₹",9.15
Delhi,400.00 ₹,"1,800.00 ₹",325.00 ₹,180.00 ₹,239.23 ₹,179.48 ₹,43.19 ₹,14.11 ₹,66.50 ₹,50.02 ₹,77.91 ₹,97.73 ₹,402.93 ₹,309.12 ₹,471.62 ₹,181.56 ₹,70.78 ₹,86.98 ₹,53.00 ₹,34.86 ₹,44.40 ₹,50.80 ₹,29.80 ₹,900.00 ₹,161.76 ₹,350.00 ₹,38.00 ₹,"1,000.00 ₹",50.00 ₹,22.50 ₹,105.00 ₹,98.56 ₹,"1,450,000.00 ₹","2,056,490.56 ₹","5,841.09 ₹",369.22 ₹,723.91 ₹,"1,862.50 ₹",835.67 ₹,400.00 ₹,"6,660.00 ₹","195,555.56 ₹","2,368.18 ₹","2,887.88 ₹","4,469.98 ₹","3,276.92 ₹","20,046.51 ₹","11,674.42 ₹","50,681.82 ₹","28,604.65 ₹","191,408.11 ₹","105,053.46 ₹","54,044.83 ₹",9.08
Bangalore,300.00 ₹,"1,500.00 ₹",400.00 ₹,200.00 ₹,289.47 ₹,197.11 ₹,42.21 ₹,14.55 ₹,55.79 ₹,52.98 ₹,75.27 ₹,85.88 ₹,662.47 ₹,327.33 ₹,679.38 ₹,223.62 ₹,66.93 ₹,101.84 ₹,33.86 ₹,40.38 ₹,41.57 ₹,40.34 ₹,29.43 ₹,900.00 ₹,182.84 ₹,350.00 ₹,50.00 ₹,"1,200.00 ₹",100.00 ₹,30.00 ₹,200.00 ₹,104.29 ₹,"1,200,000.00 ₹","2,175,194.20 ₹","2,783.77 ₹",447.30 ₹,894.08 ₹,"1,581.85 ₹",505.69 ₹,450.00 ₹,"10,000.00 ₹","277,432.43 ₹","2,464.40 ₹","2,516.96 ₹","4,700.00 ₹","3,471.40 ₹","26,430.00 ₹","16,287.23 ₹","72,705.88 ₹","43,843.14 ₹","192,533.85 ₹","100,173.21 ₹","109,586.91 ₹",9.02
Chennai,200.00 ₹,"1,000.00 ₹",350.00 ₹,180.00 ₹,275.75 ₹,181.91 ₹,42.07 ₹,16.71 ₹,51.75 ₹,43.59 ₹,65.22 ₹,77.53 ₹,594.13 ₹,306.77 ₹,541.61 ₹,248.50 ₹,74.16 ₹,110.74 ₹,41.23 ₹,46.05 ₹,46.46 ₹,48.48 ₹,29.63 ₹,700.00 ₹,165.33 ₹,330.00 ₹,30.00 ₹,"1,000.00 ₹",120.00 ₹,25.00 ₹,150.00 ₹,102.13 ₹,"1,500,000.00 ₹","2,052,500.00 ₹","4,142.62 ₹",423.80 ₹,797.38 ₹,"1,431.03 ₹",625.00 ₹,250.00 ₹,"6,766.67 ₹","143,423.08 ₹","2,145.53 ₹","1,913.79 ₹","4,276.63 ₹","3,165.52 ₹","16,428.12 ₹","10,048.39 ₹","38,310.34 ₹","22,503.23 ₹","171,023.26 ₹","64,459.44 ₹","68,970.59 ₹",9.55
Hyderabad,300.00 ₹,"1,500.00 ₹",450.00 ₹,200.00 ₹,253.96 ₹,170.43 ₹,44.55 ₹,15.78 ₹,71.03 ₹,50.68 ₹,64.37 ₹,87.03 ₹,576.25 ₹,319.29 ₹,561.36 ₹,231.86 ₹,63.44 ₹,90.42 ₹,41.05 ₹,41.12 ₹,42.68 ₹,59.38 ₹,30.14 ₹,800.00 ₹,173.54 ₹,350.00 ₹,50.00 ₹,"1,200.00 ₹",100.00 ₹,30.00 ₹,120.00 ₹,108.02 ₹,"1,500,000.00 ₹","2,114,000.00 ₹","3,437.43 ₹",390.24 ₹,707.31 ₹,"1,808.82 ₹",643.18 ₹,350.00 ₹,"9,778.85 ₹","223,703.70 ₹","2,603.30 ₹","2,016.64 ₹","4,232.07 ₹","3,162.96 ₹","20,023.37 ₹","11,475.00 ₹","53,333.33 ₹","28,420.45 ₹","126,693.31 ₹","73,446.19 ₹","95,266.20 ₹",9.23
Kolkata,250.00 ₹,"1,000.00 ₹",400.00 ₹,150.00 ₹,210.38 ₹,148.52 ₹,36.23 ₹,11.90 ₹,60.62 ₹,35.12 ₹,57.31 ₹,84.69 ₹,475.42 ₹,248.59 ₹,643.67 ₹,206.55 ₹,70.81 ₹,113.76 ₹,53.24 ₹,31.90 ₹,47.57 ₹,37.14 ₹,27.59 ₹,800.00 ₹,141.92 ₹,340.00 ₹,20.00 ₹,250.00 ₹,50.00 ₹,30.00 ₹,175.00 ₹,104.74 ₹,"1,250,000.00 ₹","1,887,500.00 ₹","3,641.07 ₹",331.69 ₹,615.35 ₹,"1,358.97 ₹",964.29 ₹,350.00 ₹,"3,559.96 ₹","148,238.10 ₹","2,474.00 ₹","2,499.95 ₹","4,166.67 ₹","2,717.39 ₹","13,800.00 ₹","7,729.17 ₹","33,448.00 ₹","16,952.38 ₹","103,838.41 ₹","47,575.06 ₹","40,817.71 ₹",9.70
Pune,350.00 ₹,"1,500.00 ₹",450.00 ₹,200.00 ₹,295.42 ₹,207.82 ₹,40.27 ₹,15.63 ₹,66.69 ₹,49.68 ₹,68.06 ₹,91.81 ₹,606.23 ₹,348.97 ₹,601.36 ₹,230.06 ₹,71.29 ₹,130.31 ₹,58.75 ₹,48.97 ₹,49.86 ₹,60.42 ₹,30.00 ₹,750.00 ₹,189.87 ₹,350.00 ₹,40.00 ₹,"1,000.00 ₹",40.00 ₹,26.25 ₹,200.00 ₹,105.39 ₹,"1,300,000.00 ₹","1,990,909.09 ₹","2,470.90 ₹",424.39 ₹,783.33 ₹,"1,597.65 ₹",643.18 ₹,400.00 ₹,"9,506.67 ₹","208,043.48 ₹","2,982.35 ₹","2,899.92 ₹","5,351.58 ₹","3,482.72 ₹","23,437.50 ₹","15,454.55 ₹","53,875.00 ₹","31,312.66 ₹","190,181.83 ₹","107,254.62 ₹","81,696.97 ₹",9.12
Ahmedabad,300.00 ₹,"1,500.00 ₹",400.00 ₹,275.00 ₹,408.57 ₹,184.56 ₹,39.23 ₹,14.32 ₹,63.97 ₹,50.44 ₹,75.17 ₹,95.25 ₹,535.75 ₹,340.42 ₹,566.67 ₹,180.00 ₹,65.68 ₹,115.60 ₹,53.27 ₹,37.50 ₹,41.79 ₹,58.08 ₹,28.86 ₹,800.00 ₹,221.59 ₹,360.00 ₹,20.00 ₹,625.00 ₹,100.00 ₹,25.00 ₹,200.00 ₹,99.95 ₹,"1,200,000.00 ₹","2,190,909.09 ₹","4,845.90 ₹",369.48 ₹,651.25 ₹,"1,418.63 ₹",794.44 ₹,300.00 ₹,"4,576.47 ₹","131,538.46 ₹","2,143.35 ₹","2,205.44 ₹","4,499.94 ₹","3,147.26 ₹","14,025.93 ₹","10,826.92 ₹","32,800.39 ₹","20,714.29 ₹","80,717.45 ₹","60,419.91 ₹","45,541.67 ₹",8.99
Jaipur,300.00 ₹,"1,000.00 ₹",220.00 ₹,180.00 ₹,305.71 ₹,145.42 ₹,37.50 ₹,13.50 ₹,58.39 ₹,43.46 ₹,80.80 ₹,80.50 ₹,440.62 ₹,336.67 ₹,493.75 ₹,157.06 ₹,42.65 ₹,65.83 ₹,44.17 ₹,24.25 ₹,33.44 ₹,32.50 ₹,29.12 ₹,800.00 ₹,163.33 ₹,350.00 ₹,30.00 ₹,950.00 ₹,100.00 ₹,40.00 ₹,100.00 ₹,104.90 ₹,"1,200,000.00 ₹","2,000,000.00 ₹","4,045.25 ₹",350.00 ₹,688.38 ₹,"1,520.83 ₹",341.67 ₹,300.00 ₹,"5,000.00 ₹","118,500.00 ₹","1,990.82 ₹","2,380.00 ₹","3,599.89 ₹","3,466.50 ₹","12,071.43 ₹","7,083.12 ₹","29,076.92 ₹","19,583.33 ₹","82,083.46 ₹","40,859.40 ₹","51,812.50 ₹",8.85
Chandigarh,275.00 ₹,"1,200.00 ₹",325.00 ₹,150.00 ₹,235.56 ₹,155.91 ₹,32.69 ₹,17.92 ₹,64.33 ₹,47.50 ₹,74.29 ₹,91.78 ₹,445.75 ₹,252.22 ₹,508.33 ₹,178.46 ₹,70.00 ₹,89.02 ₹,45.77 ₹,31.54 ₹,39.62 ₹,36.67 ₹,28.75 ₹,"1,000.00 ₹",145.56 ₹,345.00 ₹,25.00 ₹,750.00 ₹,70.00 ₹,15.00 ₹,135.00 ₹,101.12 ₹,"1,250,000.00 ₹","2,500,000.00 ₹","4,104.56 ₹",289.00 ₹,599.89 ₹,"1,609.09 ₹",875.00 ₹,250.00 ₹,"5,250.00 ₹","170,000.00 ₹","2,100.00 ₹","2,061.25 ₹","4,025.00 ₹","2,833.33 ₹","14,384.62 ₹","8,500.00 ₹","35,222.22 ₹","22,888.89 ₹","217,731.84 ₹","117,152.89 ₹","54,000.00 ₹",8.30
Indore,200.00 ₹,"1,000.00 ₹",275.00 ₹,150.00 ₹,335.00 ₹,124.00 ₹,41.67 ₹,15.38 ₹,63.12 ₹,40.42 ₹,66.54 ₹,96.00 ₹,500.00 ₹,231.43 ₹,358.33 ₹,165.00 ₹,50.83 ₹,78.57 ₹,50.77 ₹,32.69 ₹,38.08 ₹,56.67 ₹,30.00 ₹,800.00 ₹,184.02 ₹,370.00 ₹,20.00 ₹,500.00 ₹,50.00 ₹,30.00 ₹,100.00 ₹,105.61 ₹,"1,000,000.00 ₹","1,568,571.43 ₹","2,786.51 ₹",348.62 ₹,831.58 ₹,"1,896.30 ₹",566.67 ₹,300.00 ₹,"4,583.33 ₹","129,375.00 ₹","2,012.50 ₹","3,833.33 ₹","5,428.57 ₹","3,250.00 ₹","13,625.00 ₹","8,416.67 ₹","33,582.08 ₹","19,583.33 ₹","118,812.66 ₹","53,182.96 ₹","37,545.58 ₹",9.64
Bhopal,200.00 ₹,"1,000.00 ₹",425.00 ₹,150.00 ₹,262.00 ₹,143.75 ₹,40.62 ₹,12.25 ₹,59.81 ₹,38.33 ₹,61.82 ₹,78.00 ₹,938.33 ₹,265.00 ₹,501.67 ₹,180.00 ₹,52.50 ₹,67.50 ₹,48.75 ₹,30.91 ₹,36.67 ₹,45.83 ₹,30.45 ₹,500.00 ₹,166.36 ₹,300.00 ₹,20.00 ₹,449.50 ₹,100.00 ₹,22.50 ₹,200.00 ₹,105.85 ₹,"1,162,500.00 ₹","1,811,000.00 ₹","2,500.00 ₹",286.56 ₹,727.50 ₹,"1,533.33 ₹",440.00 ₹,220.00 ₹,"4,166.67 ₹","266,666.67 ₹","1,950.00 ₹","2,100.00 ₹","3,500.00 ₹","2,800.00 ₹","11,285.71 ₹","6,750.00 ₹","25,000.00 ₹","12,833.33 ₹","173,819.55 ₹","56,018.55 ₹","42,555.56 ₹",9.67
Nagpur,250.00 ₹,"1,000.00 ₹",350.00 ₹,200.00 ₹,275.00 ₹,166.00 ₹,45.00 ₹,22.50 ₹,59.29 ₹,26.80 ₹,59.00 ₹,78.00 ₹,555.00 ₹,238.00 ₹,350.00 ₹,186.67 ₹,56.67 ₹,84.00 ₹,44.00 ₹,35.00 ₹,39.00 ₹,50.00 ₹,29.00 ₹,600.00 ₹,200.00 ₹,400.00 ₹,50.00 ₹,500.00 ₹,100.00 ₹,20.00 ₹,200.00 ₹,103.85 ₹,"1,225,000.00 ₹","1,733,333.33 ₹","4,321.83 ₹",324.50 ₹,600.00 ₹,"1,950.00 ₹",937.50 ₹,300.00 ₹,"4,916.67 ₹","130,000.00 ₹","2,083.33 ₹","2,600.00 ₹","3,833.33 ₹","2,400.00 ₹","26,166.67 ₹","19,000.00 ₹","46,833.33 ₹","33,000.00 ₹","156,365.92 ₹","93,055.64 ₹","39,000.00 ₹",9.00
Patna,200.00 ₹,850.00 ₹,300.00 ₹,195.00 ₹,200.00 ₹,124.00 ₹,32.50 ₹,13.57 ₹,57.44 ₹,37.44 ₹,51.00 ₹,97.00 ₹,601.25 ₹,225.71 ₹,572.00 ₹,118.33 ₹,67.73 ₹,92.78 ₹,49.09 ₹,32.08 ₹,42.00 ₹,43.00 ₹,28.08 ₹,600.00 ₹,176.67 ₹,220.00 ₹,30.00 ₹,400.00 ₹,100.00 ₹,17.50 ₹,200.00 ₹,103.42 ₹,"1,300,000.00 ₹","2,833,333.33 ₹","3,833.33 ₹",252.83 ₹,640.00 ₹,"2,383.33 ₹",637.50 ₹,325.00 ₹,"4,300.00 ₹","160,000.00 ₹","2,266.67 ₹","2,400.00 ₹","3,666.67 ₹","3,200.00 ₹","10,500.00 ₹","6,437.50 ₹","25,857.14 ₹","15,314.29 ₹","145,602.01 ₹","69,965.42 ₹","33,333.33 ₹",9.13
Vadodara,165.00 ₹,"1,100.00 ₹",250.00 ₹,225.00 ₹,188.00 ₹,135.56 ₹,41.18 ₹,12.50 ₹,62.42 ₹,48.75 ₹,65.00 ₹,82.36 ₹,554.17 ₹,272.00 ₹,481.67 ₹,204.44 ₹,40.00 ₹,95.00 ₹,65.45 ₹,42.22 ₹,43.89 ₹,43.67 ₹,30.00 ₹,"1,500.00 ₹",142.43 ₹,350.00 ₹,25.00 ₹,600.00 ₹,42.50 ₹,30.00 ₹,100.00 ₹,100.48 ₹,"1,400,000.00 ₹","1,900,000.00 ₹","5,238.95 ₹",371.24 ₹,677.11 ₹,"1,571.43 ₹","1,000.00 ₹",300.00 ₹,"5,694.39 ₹","162,000.00 ₹","2,190.00 ₹","2,625.00 ₹","4,062.50 ₹","2,916.67 ₹","11,625.00 ₹","7,166.67 ₹","19,888.89 ₹","18,857.14 ₹","68,619.93 ₹","57,856.02 ₹","47,833.33 ₹",9.02
Surat,287.50 ₹,"1,000.00 ₹",300.00 ₹,300.00 ₹,350.00 ₹,151.67 ₹,41.25 ₹,15.36 ₹,65.86 ₹,49.69 ₹,59.15 ₹,85.08 ₹,412.22 ₹,286.67 ₹,712.50 ₹,128.46 ₹,59.09 ₹,80.83 ₹,59.62 ₹,32.69 ₹,37.69 ₹,49.00 ₹,29.12 ₹,740.00 ₹,225.00 ₹,300.00 ₹,20.00 ₹,500.00 ₹,80.00 ₹,15.00 ₹,100.00 ₹,100.44 ₹,"1,400,000.00 ₹","1,778,800.00 ₹","3,462.14 ₹",287.48 ₹,672.73 ₹,"1,673.48 ₹",591.67 ₹,250.00 ₹,"3,989.58 ₹","90,625.00 ₹","2,153.85 ₹","2,200.00 ₹","4,307.62 ₹","3,900.00 ₹","21,611.11 ₹","47,783.94 ₹","41,166.67 ₹","22,346.15 ₹","77,804.18 ₹","51,474.07 ₹","35,416.67 ₹",9.21
Thane,450.00 ₹,"2,000.00 ₹",400.00 ₹,210.00 ₹,232.50 ₹,192.50 ₹,40.00 ₹,14.57 ₹,60.27 ₹,45.62 ₹,66.12 ₹,90.63 ₹,507.00 ₹,308.00 ₹,366.67 ₹,189.00 ₹,58.33 ₹,90.00 ₹,31.67 ₹,26.17 ₹,27.33 ₹,47.50 ₹,27.50 ₹,700.00 ₹,155.00 ₹,320.00 ₹,27.50 ₹,600.00 ₹,28.50 ₹,26.00 ₹,151.00 ₹,104.58 ₹,"1,000,000.00 ₹","2,275,000.00 ₹","4,977.73 ₹",520.00 ₹,600.00 ₹,"1,041.67 ₹",960.00 ₹,375.00 ₹,"7,444.44 ₹","130,000.00 ₹","1,966.50 ₹","1,559.80 ₹","3,666.50 ₹","2,916.67 ₹","26,333.33 ₹","17,666.67 ₹","57,500.00 ₹","41,666.67 ₹","179,398.51 ₹","136,970.07 ₹","46,000.00 ₹",9.02
Visakhapatnam,215.00 ₹,"1,100.00 ₹",375.00 ₹,180.00 ₹,320.00 ₹,132.50 ₹,32.00 ₹,9.50 ₹,65.89 ₹,50.31 ₹,66.83 ₹,81.67 ₹,453.00 ₹,300.00 ₹,420.00 ₹,245.83 ₹,63.33 ₹,115.00 ₹,49.29 ₹,46.67 ₹,48.33 ₹,60.00 ₹,29.17 ₹,900.00 ₹,165.00 ₹,375.00 ₹,25.00 ₹,"1,650.00 ₹",150.00 ₹,19.00 ₹,200.00 ₹,105.66 ₹,"1,300,000.00 ₹","2,100,000.00 ₹","3,500.00 ₹",324.38 ₹,492.00 ₹,"1,333.33 ₹",987.50 ₹,275.00 ₹,"5,750.00 ₹","150,000.00 ₹","2,380.00 ₹","2,250.00 ₹","3,300.00 ₹","3,000.00 ₹","11,937.50 ₹","6,933.33 ₹","34,375.00 ₹","16,500.00 ₹","86,990.88 ₹","42,138.95 ₹","48,000.00 ₹",7.88
